#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
2128	111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	activator	target	Mayes MA (2007)	17167165	173052	125	Adenosine monophosphate	Adenosine 5'-(dihydrogen phosphate)|5'-Adenosine monophosphate|Adenosine 5'-monophosphate|Adenosine-5'-monophosphoric acid|PAdo|Adenylate|Phosphate d'adenosine|Adenosine-5'-Monophosphate|5'-O-Phosphonoadenosine|Adenosine phosphate|Ado5'p|Adenosine-5'p|AMP|Fosfato de adenosina|5'-Adenylic acid|ADENOSINE monophosphate|Phosaden|Adenylic acid|Phosphaden|5'-AMP|Adenosini phosphas|Adenosine 5'-phosphate	-	DRUGBANK	DB00131	C10H14N5O7P	small molecule	-	61-19-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	UDMBCSSLTHHNCD-KQYNXXCUSA-N
3686	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Imming P (2006)	17016423	171742	164	Adenosine triphosphate	Adenosine 5'-triphosphate|Adenosine-5'-triphosphate|ATP	-	DRUGBANK	DB00171	C10H16N5O13P3	small molecule	-	56-65-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZKHQWZAMYRWXGA-YPLCUDRINA-N
3687	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Chen X (2002)	11752352	171740	164	Adenosine triphosphate	Adenosine 5'-triphosphate|Adenosine-5'-triphosphate|ATP	-	DRUGBANK	DB00171	C10H16N5O13P3	small molecule	-	56-65-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZKHQWZAMYRWXGA-YPLCUDRINA-N
3688	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Overington JP (2006)	17139284	171741	164	Adenosine triphosphate	Adenosine 5'-triphosphate|Adenosine-5'-triphosphate|ATP	-	DRUGBANK	DB00171	C10H16N5O13P3	small molecule	-	56-65-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZKHQWZAMYRWXGA-YPLCUDRINA-N
3749	111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	unknown	target	Imming P (2006)	17016423	171742	164	Adenosine triphosphate	Adenosine 5'-triphosphate|Adenosine-5'-triphosphate|ATP	-	DRUGBANK	DB00171	C10H16N5O13P3	small molecule	-	56-65-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZKHQWZAMYRWXGA-YPLCUDRINA-N
3750	111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	unknown	target	Overington JP (2006)	17139284	171741	164	Adenosine triphosphate	Adenosine 5'-triphosphate|Adenosine-5'-triphosphate|ATP	-	DRUGBANK	DB00171	C10H16N5O13P3	small molecule	-	56-65-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZKHQWZAMYRWXGA-YPLCUDRINA-N
4254	111309	5291	-	PIK3CB	P110BETA|PI3K|PI3KBETA|PIK3C1	9606	Homo sapiens	unknown	target	Foukas LC (2002)	12145276	174346	194	Caffeine	Cafine|1,3,7-trimethylpurine-2,6-dione|Theine|7-methyltheophylline|Coffein|Methyltheobromine|Koffein|Guaranine|1-methyltheobromine|Thein|tena|1,3,7-trimethyl-2,6-dioxopurine|Coffeinum|Anhydrous caffeine|Matena|1,3,7-trimethylxanthine|Caffeinum|Cafena|3,7-Dihydro-1,3,7-trimethyl-1H-purin-2,6-dion	stay awake maximum strength|fi	DRUGBANK	DB00201	C8H10N4O2	small molecule	N06BC01|V04CG30	58-08-2	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RYYVLZVUVIJVGH-UHFFFAOYSA-N
4261	106962	472	-	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	9606	Homo sapiens	unknown	target	Blasina A (1999)	10531013	174349	194	Caffeine	Cafine|1,3,7-trimethylpurine-2,6-dione|Theine|7-methyltheophylline|Coffein|Methyltheobromine|Koffein|Guaranine|1-methyltheobromine|Thein|tena|1,3,7-trimethyl-2,6-dioxopurine|Coffeinum|Anhydrous caffeine|Matena|1,3,7-trimethylxanthine|Caffeinum|Cafena|3,7-Dihydro-1,3,7-trimethyl-1H-purin-2,6-dion	stay awake maximum strength|fi	DRUGBANK	DB00201	C8H10N4O2	small molecule	N06BC01|V04CG30	58-08-2	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RYYVLZVUVIJVGH-UHFFFAOYSA-N
4262	106962	472	-	ATM	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	9606	Homo sapiens	unknown	target	Sarkaria JN (1999)	10485486	174348	194	Caffeine	Cafine|1,3,7-trimethylpurine-2,6-dione|Theine|7-methyltheophylline|Coffein|Methyltheobromine|Koffein|Guaranine|1-methyltheobromine|Thein|tena|1,3,7-trimethyl-2,6-dioxopurine|Coffeinum|Anhydrous caffeine|Matena|1,3,7-trimethylxanthine|Caffeinum|Cafena|3,7-Dihydro-1,3,7-trimethyl-1H-purin-2,6-dion	stay awake maximum strength|fi	DRUGBANK	DB00201	C8H10N4O2	small molecule	N06BC01|V04CG30	58-08-2	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	RYYVLZVUVIJVGH-UHFFFAOYSA-N
8659	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Dewar AL (2005)	15917650	177323	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
8660	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Haberler C (2006)	16205964	177326	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
