#BIOGRID ID	ENTREZ GENE ID	SYSTEMATIC NAME	OFFICIAL SYMBOL	SYNONYMS	ORGANISM ID	ORGANISM NAME	INTERACTION COUNT	PTM COUNT	CHEMICAL INTERACTION COUNT	SOURCE	CATEGORY VALUES	CATEGORY IDS	CATEGORY TAGS	CATEGORY EVIDENCE VALUES	CATEGORY EVIDENCE IDS	CATEGORY EVIDENCE CLASSES	CATEGORY EVIDENCE METHODS
111307	5289	-	PIK3C3	VPS34|hVps34	9606	Homo sapiens	261	41	3	BIOGRID	Initiation complex	-	-	-	-	-	-
111309	5291	-	PIK3CB	P110BETA|PI3K|PI3KBETA|PIK3C1	9606	Homo sapiens	145	69	1	BIOGRID	Signal transduction	-	-	-	-	-	-
120117	54734	-	RAB39A	RAB39	9606	Homo sapiens	26	6	0	BIOGRID	Initiation complex	-	-	-	-	-	-
124372	84938	-	ATG4C	APG4-C|APG4C|AUTL1|AUTL3	9606	Homo sapiens	42	23	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
113985	8396	-	PIP4K2B	PI5P4KB|PIP5K2B|PIP5KIIB|PIP5KIIbeta	9606	Homo sapiens	104	26	0	BIOGRID	Initiation complex	-	-	-	-	-	-
106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	514	20	46	BIOGRID	Signal transduction	-	-	-	-	-	-
136224	440026	-	TMEM41B	-	9606	Homo sapiens	180	11	0	BIOGRID	Other/unknown	-	-	-	-	-	-
117375	25851	tcag7.876	TECPR1	-	9606	Homo sapiens	29	0	0	BIOGRID	Lysosome	-	-	-	-	-	-
121690	57655	-	GRAMD1A	KIAA1533	9606	Homo sapiens	218	91	0	BIOGRID	Initiation complex	-	-	-	-	-	-
124401	84971	-	ATG4D	APG4-D|APG4D|AUTL4	9606	Homo sapiens	17	8	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
119289	51100	CGI-61	SH3GLB1	Bif-1|PPP1R70|dJ612B15.2	9606	Homo sapiens	158	86	0	BIOGRID	Initiation complex	-	-	-	-	-	-
117174	23647	-	ARFIP2	POR1	9606	Homo sapiens	147	26	0	BIOGRID	Membrane delivery	-	-	-	-	-	-
121594	57535	RP11-352P4.1	KIAA1324	EIG121	9606	Homo sapiens	66	0	0	BIOGRID	Other/unknown	-	-	-	-	-	-
114465	8975	-	USP13	ISOT3|IsoT-3	9606	Homo sapiens	188	100	1	BIOGRID	Initiation complex	-	-	-	-	-	-
121592	57533	-	TBC1D14	-	9606	Homo sapiens	55	4	0	BIOGRID	Membrane delivery	-	-	-	-	-	-
130263	285973	-	ATG9B	APG9L2|NOS3AS|SONE	9606	Homo sapiens	40	0	0	BIOGRID	Membrane delivery	-	-	-	-	-	-
121809	58476	RP5-1181N3.1	TP53INP2	C20orf110|DOR|PINH|dJ1181N3.1	9606	Homo sapiens	8	1	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
123230	80317	-	ZKSCAN3	ZF47|ZFP306|ZNF306|ZNF309|ZSCAN13|ZSCAN35|Zfp47|dJ874C20.1|dJ874C20.1.|zfp-47	9606	Homo sapiens	46	3	0	BIOGRID	Transcriptional regulation	-	-	-	-	-	-
123724	83667	-	SESN2	HI95|SES2|SEST2	9606	Homo sapiens	66	6	0	BIOGRID	Signal transduction	-	-	-	-	-	-
114469	8987	GENX-3414	STBD1	GENEX3414	9606	Homo sapiens	175	2	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
113258	7415	-	VCP	ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	9606	Homo sapiens	2374	142	34	BIOGRID	Lysosome	-	-	-	-	-	-
115576	10287	-	RGS19	GAIP|RGSGAIP	9606	Homo sapiens	40	8	0	BIOGRID	Signal transduction	-	-	-	-	-	-
113100	7249	-	TSC2	LAM|PPP1R160|TSC4	9606	Homo sapiens	323	501	0	BIOGRID	Signal transduction	-	-	-	-	-	-
122928	79837	-	PIP4K2C	PIP5K2C	9606	Homo sapiens	183	32	2	BIOGRID	Initiation complex	-	-	-	-	-	-
125700	120892	-	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	9606	Homo sapiens	719	3	2	BIOGRID	Other/unknown	-	-	-	-	-	-
131916	374666	-	WASH3P	FAM39DP	9606	Homo sapiens	54	1	0	BIOGRID	Initiation complex	-	-	-	-	-	-
117550	26100	CGI-50	WIPI2	ATG18B|Atg21|WIPI-2	9606	Homo sapiens	118	61	0	BIOGRID	Initiation complex	-	-	-	-	-	-
121130	56270	hCG_30378	WDR45B	WDR45L|WIPI-3|WIPI3	9606	Homo sapiens	86	30	0	BIOGRID	Initiation complex	-	-	-	-	-	-
123910	84141	SP24	EVA1A	FAM176A|TMEM166	9606	Homo sapiens	13	13	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
126704	140775	-	SMCR8	-	9606	Homo sapiens	144	17	0	BIOGRID	Initiation complex	-	-	-	-	-	-
121223	56893	RP11-336K24.8	UBQLN4	A1U|A1Up|C1orf6|CIP75|UBIN	9606	Homo sapiens	310	27	0	BIOGRID	Lysosome	-	-	-	-	-	-
111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	414	61	17	BIOGRID	Signal transduction	-	-	-	-	-	-
121746	57724	-	EPG5	HEEW1|KIAA1632|VICIS|hEPG5	9606	Homo sapiens	13	22	0	BIOGRID	Lysosome	-	-	-	-	-	-
123619	81876	-	RAB1B	-	9606	Homo sapiens	314	12	0	BIOGRID	Lysosome	-	-	-	-	-	-
107197	738	PP5382	VPS51	ANG2|ANG3|C11orf2|C11orf3|FFR	9606	Homo sapiens	229	9	0	BIOGRID	Lysosome	-	-	-	-	-	-
110253	4077	MIG19	NBR1	1A1-3B|IAI3B|M17S2	9606	Homo sapiens	466	168	0	BIOGRID	Ubiquitin-mediated cargo selection	-	-	-	-	-	-
568619	643246	-	MAP1LC3B2	ATG8G	9606	Homo sapiens	26	14	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
119749	53349	PP10436	ZFYVE1	DFCP1|PPP1R172|SR3|TAFF1|ZNFN2A1	9606	Homo sapiens	57	11	0	BIOGRID	Initiation complex	-	-	-	-	-	-
112188	6280	-	S100A9	60B8AG|CAGB|CFAG|CGLB|L1AG|LIAG|MAC387|MIF|MRP14|NIF|P14	9606	Homo sapiens	296	7	0	BIOGRID	Organellophagy	-	-	-	-	-	-
113624	7879	-	RAB7A	PRO2706|RAB7	9606	Homo sapiens	1090	18	1	BIOGRID	Lysosome	-	-	-	-	-	-
117223	23710	-	GABARAPL1	APG8-LIKE|APG8L|ATG8|ATG8B|ATG8L|GEC1	9606	Homo sapiens	240	15	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
114665	9236	-	CCPG1	CPR8	9606	Homo sapiens	119	103	0	BIOGRID	Initiation complex	-	-	-	-	-	-
118961	29919	-	C18orf8	HsT2591|MIC1|Mic-1	9606	Homo sapiens	152	25	0	BIOGRID	Lysosome	-	-	-	-	-	-
121582	57521	-	RPTOR	KOG1|Mip1	9606	Homo sapiens	630	48	0	BIOGRID	Signal transduction	-	-	-	-	-	-
112187	6279	-	S100A8	60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8	9606	Homo sapiens	196	2	0	BIOGRID	Organellophagy	-	-	-	-	-	-
119503	51368	UNQ337/PRO536	TEX264	ZSIG11	9606	Homo sapiens	261	40	0	BIOGRID	Organellophagy	-	-	-	-	-	-
116251	11067	-	C10orf10	DEPP|FIG|Fseg	9606	Homo sapiens	9	0	0	BIOGRID	Other/unknown	-	-	-	-	-	-
117266	23766	-	GABARAPL3	ATG8D	9606	Homo sapiens	1	0	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
108597	2308	-	FOXO1	FKH1|FKHR|FOXO1A	9606	Homo sapiens	183	1	0	BIOGRID	Transcriptional regulation	-	-	-	-	-	-
125418	115201	RP5-889N15.2	ATG4A	APG4A|AUTL2	9606	Homo sapiens	42	6	0	BIOGRID	ATG conjugation system	-	-	-	-	-	-
