#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
3337	106718	216	RP11-151D14.2	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9606	Homo sapiens	unknown	target	Imming P (2006)	17016423	171742	151	NADH	DPNH|Reduced nicotinamide adenine diphosphate|Nicotinamide-adenine dinucleotide, reduced|1,4-dihydronicotinamide adenine dinucleotide|Reduced nicotinamide-adenine dinucleotide|NAD reduced form|Nicotinamide adenine dinucleotide (reduced)	-	DRUGBANK	DB00157	C21H29N7O14P2	small molecule	-	58-68-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BOPGDPNILDQYTO-NNYOXOHSSA-N
3338	106718	216	RP11-151D14.2	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9606	Homo sapiens	unknown	target	Wroczynski P (2006)	16583981	173765	151	NADH	DPNH|Reduced nicotinamide adenine diphosphate|Nicotinamide-adenine dinucleotide, reduced|1,4-dihydronicotinamide adenine dinucleotide|Reduced nicotinamide-adenine dinucleotide|NAD reduced form|Nicotinamide adenine dinucleotide (reduced)	-	DRUGBANK	DB00157	C21H29N7O14P2	small molecule	-	58-68-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BOPGDPNILDQYTO-NNYOXOHSSA-N
3339	106718	216	RP11-151D14.2	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9606	Homo sapiens	unknown	target	Overington JP (2006)	17139284	171741	151	NADH	DPNH|Reduced nicotinamide adenine diphosphate|Nicotinamide-adenine dinucleotide, reduced|1,4-dihydronicotinamide adenine dinucleotide|Reduced nicotinamide-adenine dinucleotide|NAD reduced form|Nicotinamide adenine dinucleotide (reduced)	-	DRUGBANK	DB00157	C21H29N7O14P2	small molecule	-	58-68-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BOPGDPNILDQYTO-NNYOXOHSSA-N
3340	106718	216	RP11-151D14.2	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9606	Homo sapiens	unknown	target	Russo J (2002)	11872149	173679	151	NADH	DPNH|Reduced nicotinamide adenine diphosphate|Nicotinamide-adenine dinucleotide, reduced|1,4-dihydronicotinamide adenine dinucleotide|Reduced nicotinamide-adenine dinucleotide|NAD reduced form|Nicotinamide adenine dinucleotide (reduced)	-	DRUGBANK	DB00157	C21H29N7O14P2	small molecule	-	58-68-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BOPGDPNILDQYTO-NNYOXOHSSA-N
3363	106719	217	-	ALDH2	ALDH-E2|ALDHI|ALDM	9606	Homo sapiens	unknown	target	Quintanilla ME (2007)	17488809	173775	151	NADH	DPNH|Reduced nicotinamide adenine diphosphate|Nicotinamide-adenine dinucleotide, reduced|1,4-dihydronicotinamide adenine dinucleotide|Reduced nicotinamide-adenine dinucleotide|NAD reduced form|Nicotinamide adenine dinucleotide (reduced)	-	DRUGBANK	DB00157	C21H29N7O14P2	small molecule	-	58-68-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BOPGDPNILDQYTO-NNYOXOHSSA-N
3364	106719	217	-	ALDH2	ALDH-E2|ALDHI|ALDM	9606	Homo sapiens	unknown	target	Quintanilla ME (2006)	16961761	173776	151	NADH	DPNH|Reduced nicotinamide adenine diphosphate|Nicotinamide-adenine dinucleotide, reduced|1,4-dihydronicotinamide adenine dinucleotide|Reduced nicotinamide-adenine dinucleotide|NAD reduced form|Nicotinamide adenine dinucleotide (reduced)	-	DRUGBANK	DB00157	C21H29N7O14P2	small molecule	-	58-68-4	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BOPGDPNILDQYTO-NNYOXOHSSA-N
3553	106718	216	RP11-151D14.2	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9606	Homo sapiens	unknown	target	Gyamfi MA (2006)	16829625	173902	156	Vitamin A	Retinol|all-trans-retinol|(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol|Vitamin A1|all-trans-retinyl alcohol|all-trans-vitamin A alcohol	infant's multiple vitamin drop	DRUGBANK	DB00162	C20H30O	small molecule	A11CA01|R01AX02|S01XA02|D10AD02	68-26-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
3554	106718	216	RP11-151D14.2	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9606	Homo sapiens	unknown	target	Huq MD (2006)	16763553	173903	156	Vitamin A	Retinol|all-trans-retinol|(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol|Vitamin A1|all-trans-retinyl alcohol|all-trans-vitamin A alcohol	infant's multiple vitamin drop	DRUGBANK	DB00162	C20H30O	small molecule	A11CA01|R01AX02|S01XA02|D10AD02	68-26-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
3555	106718	216	RP11-151D14.2	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9606	Homo sapiens	unknown	target	Maden M (2007)	17486539	173900	156	Vitamin A	Retinol|all-trans-retinol|(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol|Vitamin A1|all-trans-retinyl alcohol|all-trans-vitamin A alcohol	infant's multiple vitamin drop	DRUGBANK	DB00162	C20H30O	small molecule	A11CA01|R01AX02|S01XA02|D10AD02	68-26-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
3556	106718	216	RP11-151D14.2	ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1	9606	Homo sapiens	unknown	target	Chambers D (2007)	17329364	173904	156	Vitamin A	Retinol|all-trans-retinol|(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol|Vitamin A1|all-trans-retinyl alcohol|all-trans-vitamin A alcohol	infant's multiple vitamin drop	DRUGBANK	DB00162	C20H30O	small molecule	A11CA01|R01AX02|S01XA02|D10AD02	68-26-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
