#BIOGRID ID	ENTREZ GENE ID	SYSTEMATIC NAME	OFFICIAL SYMBOL	SYNONYMS	ORGANISM ID	ORGANISM NAME	INTERACTION COUNT	PTM COUNT	CHEMICAL INTERACTION COUNT	SOURCE	CATEGORY VALUES	CATEGORY IDS	CATEGORY TAGS	CATEGORY EVIDENCE VALUES	CATEGORY EVIDENCE IDS	CATEGORY EVIDENCE CLASSES	CATEGORY EVIDENCE METHODS
120429	55120	-	FANCL	FAAP43|PHF9|POG	9606	Homo sapiens	192	33	0	BIOGRID	FA core complex|Ubiquitin Proteasome System	-	-	-	-	-	-
132044	378708	-	APITD1	CENP-S|CENPS|FAAP16|MHF1	9606	Homo sapiens	115	5	0	BIOGRID	FA complex interacting protein	-	-	-	-	-	-
113350	7516	-	XRCC2	-	9606	Homo sapiens	80	5	0	BIOGRID	DNA damage response	-	-	-	-	-	-
109514	3280	-	HES1	HES-1|HHL|HRY|bHLHb39	9606	Homo sapiens	99	5	0	BIOGRID	FA complex interacting protein	-	-	-	-	-	-
129033	254394	RP3-329L24.2	MCM9	C6orf61|MCMDC1|dJ329L24.1|dJ329L24.3	9606	Homo sapiens	109	11	0	BIOGRID	DNA damage response|FA complex interacting protein	-	-	-	-	-	-
117964	27033	-	ZBTB32	FAXF|FAZF|Rog|TZFP|ZNF538	9606	Homo sapiens	83	0	0	BIOGRID	FA complex interacting protein	-	-	-	-	-	-
111596	5610	-	EIF2AK2	EIF2AK1|PKR|PPP1R83|PRKR	9606	Homo sapiens	537	71	2	BIOGRID	DNA damage response|Kinase/Phosphatase	-	-	-	-	-	-
110438	4292	-	MLH1	COCA2|FCC2|HNPCC|HNPCC2|hMLH1	9606	Homo sapiens	460	159	0	BIOGRID	DNA damage response|FA complex interacting protein	-	-	-	-	-	-
108028	1663	-	DDX11	CHL1|CHLR1|KRG2|WABS	9606	Homo sapiens	89	385	0	BIOGRID	DNA damage response|Helicase	-	-	-	-	-	-
119551	51455	-	REV1	REV1L	9606	Homo sapiens	93	19	0	BIOGRID	DNA damage response|FA complex interacting protein	-	-	-	-	-	-
131695	353497	RP11-317B7.1	POLN	POL4P	9606	Homo sapiens	42	1	0	BIOGRID	DNA damage response	-	-	-	-	-	-
108472	2175	-	FANCA	FA|FA-H|FA1|FAA|FACA|FAH|FANCH	9606	Homo sapiens	514	145	0	BIOGRID	DNA damage response|FA core complex	-	-	-	-	-	-
108473	2176	RP11-80I15.2	FANCC	FA3|FAC|FACC	9606	Homo sapiens	219	43	0	BIOGRID	DNA damage response|FA core complex	-	-	-	-	-	-
108474	2177	-	FANCD2	FA-D2|FA4|FACD|FAD|FAD2|FANCD	9606	Homo sapiens	1109	139	1	BIOGRID	DNA damage response|FANC ID complex	-	-	-	-	-	-
108475	2178	-	FANCE	FACE|FAE	9606	Homo sapiens	127	39	0	BIOGRID	DNA damage response|FA core complex	-	-	-	-	-	-
122479	79008	-	SLX1B	GIYD2	9606	Homo sapiens	51	0	0	BIOGRID	DNA damage response|FA complex interacting protein	-	-	-	-	-	-
108384	2072	-	ERCC4	ERCC11|FANCQ|RAD1|XPF	9606	Homo sapiens	392	28	0	BIOGRID	DNA damage response|FA complex interacting protein	-	-	-	-	-	-
107420	983	-	CDK1	CDC2|CDC28A|P34CDC2	9606	Homo sapiens	898	134	14	BIOGRID	DNA damage response|Kinase/Phosphatase	-	-	-	-	-	-
113162	7314	-	UBB	-	9606	Homo sapiens	531	291	3	BIOGRID	FA complex interacting protein|Ubiquitin Proteasome System	-	-	-	-	-	-
128288	199990	RP11-181G12.3	C1orf86	FAAP20|FP7162	9606	Homo sapiens	125	5	0	BIOGRID	DNA damage response|FA complex interacting protein	-	-	-	-	-	-
