#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
676313	7316	113164	-	UBC	HMG20	-	PTM	Shenoy SK (2008)	18544533	9606	Homo sapiens	BIOGRID
676314	7316	113164	-	UBC	HMG20	-	PTM	Lin PH (2008)	18544348	9606	Homo sapiens	BIOGRID
676315	7316	113164	-	UBC	HMG20	-	PTM	Yu F (2008)	18541373	9606	Homo sapiens	BIOGRID
677389	7316	113164	-	UBC	HMG20	-	PTM	Shibata T (2008)	18757741	9606	Homo sapiens	BIOGRID
677390	7316	113164	-	UBC	HMG20	-	PTM	Ding W (2008)	18757723	9606	Homo sapiens	BIOGRID
677391	7316	113164	-	UBC	HMG20	-	PTM	Shi W (2008)	18757370	9606	Homo sapiens	BIOGRID
677392	7316	113164	-	UBC	HMG20	-	PTM	Newton K (2008)	18724939	9606	Homo sapiens	BIOGRID
677393	7316	113164	-	UBC	HMG20	-	PTM	Newton K (2008)	18724939	9606	Homo sapiens	BIOGRID
677394	7316	113164	-	UBC	HMG20	-	PTM	Newton K (2008)	18724939	9606	Homo sapiens	BIOGRID
677395	7316	113164	-	UBC	HMG20	-	PTM	Motegi A (2008)	18719106	9606	Homo sapiens	BIOGRID
677396	7316	113164	-	UBC	HMG20	-	PTM	Ikeda H (2008)	18716056	9606	Homo sapiens	BIOGRID
677397	7316	113164	-	UBC	HMG20	-	PTM	Lineberry N (2008)	18713730	9606	Homo sapiens	BIOGRID
677398	7316	113164	-	UBC	HMG20	-	PTM	Lineberry N (2008)	18713730	9606	Homo sapiens	BIOGRID
677399	7316	113164	-	UBC	HMG20	-	PTM	Weisshaar SR (2008)	18708055	9606	Homo sapiens	BIOGRID
677400	7316	113164	-	UBC	HMG20	-	PTM	Han JM (2008)	18695251	9606	Homo sapiens	BIOGRID
677401	7316	113164	-	UBC	HMG20	-	PTM	Andre H (2008)	18694926	9606	Homo sapiens	BIOGRID
677402	7316	113164	-	UBC	HMG20	-	PTM	Wang WJ (2008)	18689982	9606	Homo sapiens	BIOGRID
677403	7316	113164	-	UBC	HMG20	-	PTM	Maruyama Y (2008)	18675248	9606	Homo sapiens	BIOGRID
677404	7316	113164	-	UBC	HMG20	-	PTM	McCabe KM (2008)	18672388	9606	Homo sapiens	BIOGRID
677405	7316	113164	-	UBC	HMG20	-	PTM	Kimura M (2008)	18671972	9606	Homo sapiens	BIOGRID
677406	7316	113164	-	UBC	HMG20	-	PTM	Carpentier I (2008)	18671942	9606	Homo sapiens	BIOGRID
677407	7316	113164	-	UBC	HMG20	-	PTM	Carpentier I (2008)	18671942	9606	Homo sapiens	BIOGRID
677408	7316	113164	-	UBC	HMG20	-	PTM	Dehvari N (2009)	18671761	9606	Homo sapiens	BIOGRID
677409	7316	113164	-	UBC	HMG20	-	PTM	Jeong JH (2008)	18655187	9606	Homo sapiens	BIOGRID
677410	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677411	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677412	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677413	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677414	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677415	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677416	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677417	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677418	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677419	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677420	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677421	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677422	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677423	7316	113164	-	UBC	HMG20	-	PTM	Tan F (2008)	18655026	9606	Homo sapiens	BIOGRID
677424	7316	113164	-	UBC	HMG20	-	PTM	Lee J (2008)	18644859	9606	Homo sapiens	BIOGRID
677426	7316	113164	-	UBC	HMG20	-	PTM	Lu K (2008)	18641638	9606	Homo sapiens	BIOGRID
677427	7316	113164	-	UBC	HMG20	-	PTM	Lineberry NB (2008)	18641297	9606	Homo sapiens	BIOGRID
677428	7316	113164	-	UBC	HMG20	-	PTM	Friedman CS (2008)	18636086	9606	Homo sapiens	BIOGRID
677429	7316	113164	-	UBC	HMG20	-	PTM	Friedman CS (2008)	18636086	9606	Homo sapiens	BIOGRID
677430	7316	113164	-	UBC	HMG20	-	PTM	Friedman CS (2008)	18636086	9606	Homo sapiens	BIOGRID
